touchpoint_id,customer_id,campaign_id,interaction_timestamp,interaction_date,touchpoint_order,total_customer_touchpoints,channel_type,utm_source,utm_medium,utm_campaign,consumer_stage,device_type,session_duration_sec,touchpoint_clicks,touchpoint_impressions,survey_engagement_rating,survey_sentiment_rating,survey_cross_channel_influence_rating,survey_perceived_value_rating,survey_effectiveness_rating,touchpoint_marketing_cost
TP1479,C005,CMP17,2024-03-31 18:02:00,2024-03-31,1,8,Web,website,web_referral,CMP17_display,Retention,Tablet,118,7,81,0.74,-0.79,0.71,0.79,0.98,8.63
TP570,C005,CMP04,2024-04-12 06:08:00,2024-04-12,2,8,Mobile,mobile_app,mobile_push,CMP04_display,Consideration,Tablet,293,5,87,0.14,-0.96,0.08,1.0,0.77,6.29
TP845,C005,CMP14,2024-04-16 06:09:00,2024-04-16,3,8,Social,social_media,paid_social,CMP14_email,Consideration,Mobile,569,4,86,0.78,-0.79,0.09,0.24,0.93,1.21
TP177,C005,CMP09,2024-04-24 15:34:00,2024-04-24,4,8,Social,social_media,paid_social,CMP09_social_media,Retention,Tablet,649,5,2,0.26,0.2,0.16,0.7,0.21,6.96
TP2127,C005,CMP11,2024-04-26 10:53:00,2024-04-26,5,8,Social,social_media,paid_social,CMP11_display,Awareness,Tablet,548,8,81,0.0,-0.21,0.47,0.17,0.35,4.73
TP990,C005,CMP14,2024-05-27 10:40:00,2024-05-27,6,8,Social,social_media,paid_social,CMP14_email,Conversion,Desktop,210,8,23,0.14,-0.62,0.17,0.07,0.02,8.35
TP1157,C005,CMP18,2024-05-29 01:15:00,2024-05-29,7,8,Social,social_media,paid_social,CMP18_influencer,Awareness,Tablet,954,0,184,0.24,-0.43,0.18,0.82,0.0,4.86
TP1412,C005,CMP08,2024-06-28 06:16:00,2024-06-28,8,8,Social,social_media,paid_social,CMP08_search,Conversion,Mobile,684,5,17,0.48,0.79,0.18,0.73,0.58,6.24
TP1307,C006,CMP19,2024-03-03 15:50:00,2024-03-03,1,4,In-Store,offline_store,offline,CMP19_social_media,Consideration,Tablet,624,1,106,0.03,0.15,0.25,0.35,0.72,4.92
TP461,C006,CMP01,2024-03-08 12:36:00,2024-03-08,2,4,In-Store,offline_store,offline,CMP01_email,Retention,Desktop,968,8,154,0.56,0.76,0.43,0.54,0.97,3.67
TP1017,C006,CMP08,2024-06-05 04:48:00,2024-06-05,3,4,Mobile,mobile_app,mobile_push,CMP08_search,Awareness,Desktop,737,9,4,0.24,0.13,0.32,0.48,0.15,2.98
TP1269,C006,CMP04,2024-06-22 20:46:00,2024-06-22,4,4,Email,email,email,CMP04_display,Conversion,Desktop,762,0,151,0.49,-0.21,0.18,0.5,0.97,9.83
TP2240,C007,CMP01,2024-03-14 15:21:00,2024-03-14,1,7,In-Store,offline_store,offline,CMP01_email,Awareness,Mobile,872,7,142,0.57,-0.57,0.33,0.15,0.34,2.08
TP1973,C007,CMP18,2024-04-09 16:59:00,2024-04-09,2,7,Mobile,mobile_app,mobile_push,CMP18_influencer,Conversion,Tablet,600,3,157,0.01,0.08,0.6,0.95,0.68,3.61
TP1737,C007,CMP18,2024-05-06 04:02:00,2024-05-06,3,7,Social,social_media,paid_social,CMP18_influencer,Retention,Mobile,923,2,32,0.33,0.68,0.86,0.38,0.24,0.87
TP2329,C007,CMP13,2024-05-10 17:39:00,2024-05-10,4,7,Email,email,email,CMP13_social_media,Retention,Desktop,420,4,50,0.45,-0.21,0.5,0.49,0.03,1.15
TP2540,C007,CMP07,2024-05-27 06:25:00,2024-05-27,5,7,Social,social_media,paid_social,CMP07_email,Consideration,Desktop,197,1,93,0.97,0.79,0.68,0.83,0.64,2.66
TP835,C007,CMP12,2024-06-01 03:09:00,2024-06-01,6,7,Email,email,email,CMP12_influencer,Conversion,Desktop,818,4,21,0.22,-0.04,0.54,0.3,0.6,1.35
TP1217,C007,CMP16,2024-06-13 02:57:00,2024-06-13,7,7,In-Store,offline_store,offline,CMP16_social_media,Retention,Desktop,592,4,97,0.91,-0.39,0.85,0.48,0.69,6.36
TP947,C008,CMP11,2024-03-07 08:18:00,2024-03-07,1,5,Email,email,email,CMP11_display,Awareness,Mobile,815,1,200,0.11,-0.45,0.79,0.89,0.59,5.07
TP1698,C008,CMP11,2024-04-12 10:47:00,2024-04-12,2,5,Email,email,email,CMP11_display,Awareness,Tablet,535,4,199,0.79,0.98,0.27,0.28,0.92,6.98
TP1194,C008,CMP11,2024-04-24 11:22:00,2024-04-24,3,5,Mobile,mobile_app,mobile_push,CMP11_display,Retention,Mobile,557,10,85,0.95,0.83,0.52,0.29,0.97,2.58
TP2409,C008,CMP11,2024-05-22 01:13:00,2024-05-22,4,5,Social,social_media,paid_social,CMP11_display,Awareness,Tablet,346,2,177,0.44,0.37,0.05,0.07,0.38,7.06
TP1139,C008,CMP12,2024-06-12 03:38:00,2024-06-12,5,5,Social,social_media,paid_social,CMP12_influencer,Consideration,Mobile,949,6,187,0.38,0.92,0.11,0.55,0.78,8.96
TP1791,C009,CMP11,2024-04-10 19:12:00,2024-04-10,1,8,In-Store,offline_store,offline,CMP11_display,Awareness,Desktop,813,2,55,0.74,-0.77,0.03,0.58,0.86,8.91
TP828,C009,CMP02,2024-04-12 11:50:00,2024-04-12,2,8,Email,email,email,CMP02_email,Consideration,Mobile,481,4,15,0.06,0.21,0.42,0.09,0.26,1.92
TP2133,C009,CMP05,2024-04-17 22:19:00,2024-04-17,3,8,In-Store,offline_store,offline,CMP05_email,Consideration,Tablet,276,8,101,0.33,0.24,0.59,0.78,0.07,5.53
TP2436,C009,CMP03,2024-04-18 05:09:00,2024-04-18,4,8,Web,website,web_referral,CMP03_influencer,Retention,Desktop,33,2,42,0.07,-0.08,0.62,0.07,0.78,7.86
TP368,C009,CMP02,2024-04-29 14:30:00,2024-04-29,5,8,Email,email,email,CMP02_email,Awareness,Tablet,354,0,191,0.12,0.46,0.37,0.17,0.84,9.16
TP2174,C009,CMP10,2024-05-06 04:43:00,2024-05-06,6,8,In-Store,offline_store,offline,CMP10_email,Conversion,Mobile,535,1,14,0.43,0.24,0.48,0.15,0.14,7.5
TP133,C009,CMP09,2024-05-09 22:43:00,2024-05-09,7,8,Email,email,email,CMP09_social_media,Conversion,Mobile,445,4,181,0.38,-0.73,0.39,0.86,0.69,7.52
TP2521,C009,CMP03,2024-05-25 14:51:00,2024-05-25,8,8,Web,website,web_referral,CMP03_influencer,Consideration,Mobile,629,10,7,0.32,0.35,0.57,0.97,0.49,9.77
TP984,C010,CMP19,2024-04-02 21:47:00,2024-04-02,1,4,Email,email,email,CMP19_social_media,Consideration,Tablet,923,7,14,0.66,-0.23,0.1,0.97,0.56,3.03
TP1357,C010,CMP07,2024-04-05 15:50:00,2024-04-05,2,4,Social,social_media,paid_social,CMP07_email,Consideration,Tablet,650,3,93,0.82,0.17,0.3,0.6,0.48,6.14
TP662,C010,CMP02,2024-05-05 05:31:00,2024-05-05,3,4,Web,website,web_referral,CMP02_email,Awareness,Tablet,1019,0,111,0.35,0.31,0.73,0.44,0.49,7.61
TP1478,C010,CMP15,2024-06-23 18:15:00,2024-06-23,4,4,Mobile,mobile_app,mobile_push,CMP15_display,Conversion,Mobile,1077,3,65,0.16,0.58,0.16,0.63,0.53,9.75
TP2461,C011,CMP06,2024-03-27 18:30:00,2024-03-27,1,5,Social,social_media,paid_social,CMP06_display,Conversion,Desktop,807,9,9,0.21,-0.42,0.16,0.15,0.08,0.56
TP1865,C011,CMP17,2024-04-23 19:32:00,2024-04-23,2,5,Social,social_media,paid_social,CMP17_display,Awareness,Tablet,1129,4,114,0.88,0.61,0.54,0.7,0.93,9.48
TP1756,C011,CMP10,2024-05-02 09:29:00,2024-05-02,3,5,Social,social_media,paid_social,CMP10_email,Consideration,Mobile,470,7,124,0.86,-0.55,0.56,0.23,0.14,9.79
TP1514,C011,CMP13,2024-05-20 13:06:00,2024-05-20,4,5,Web,website,web_referral,CMP13_social_media,Awareness,Mobile,433,4,85,0.57,-0.48,0.83,0.53,0.96,5.94
TP2099,C011,CMP16,2024-05-29 06:51:00,2024-05-29,5,5,Web,website,web_referral,CMP16_social_media,Retention,Mobile,681,0,146,0.31,0.61,0.51,0.25,0.05,4.53
TP2558,C012,CMP10,2024-03-25 01:50:00,2024-03-25,1,10,Social,social_media,paid_social,CMP10_email,Retention,Mobile,670,10,9,0.02,0.59,0.5,0.47,0.27,2.69
TP710,C012,CMP15,2024-03-30 11:14:00,2024-03-30,2,10,Web,website,web_referral,CMP15_display,Awareness,Mobile,457,1,83,0.72,-0.97,0.94,0.56,1.0,0.57
TP2396,C012,CMP14,2024-04-17 11:13:00,2024-04-17,3,10,Social,social_media,paid_social,CMP14_email,Awareness,Tablet,208,7,20,0.1,0.89,0.78,0.07,0.7,9.34
TP937,C012,CMP03,2024-05-04 11:35:00,2024-05-04,4,10,Email,email,email,CMP03_influencer,Retention,Desktop,311,9,30,0.47,0.24,0.1,0.92,0.52,0.94
TP2560,C012,CMP17,2024-05-09 14:50:00,2024-05-09,5,10,Social,social_media,paid_social,CMP17_display,Retention,Tablet,1105,2,40,0.64,0.94,0.52,0.09,0.09,7.35
TP1920,C012,CMP14,2024-05-20 04:42:00,2024-05-20,6,10,In-Store,offline_store,offline,CMP14_email,Consideration,Desktop,763,5,28,0.68,0.12,0.22,0.44,0.59,2.54
TP2307,C012,CMP15,2024-05-26 10:36:00,2024-05-26,7,10,In-Store,offline_store,offline,CMP15_display,Retention,Desktop,637,2,23,0.36,-0.46,0.95,0.34,0.93,3.48
TP2263,C012,CMP17,2024-05-27 21:48:00,2024-05-27,8,10,Email,email,email,CMP17_display,Consideration,Tablet,318,9,94,0.56,0.6,0.29,0.23,0.41,6.77
TP1933,C012,CMP16,2024-05-28 19:59:00,2024-05-28,9,10,Social,social_media,paid_social,CMP16_social_media,Awareness,Desktop,74,2,178,0.54,-0.1,0.19,0.21,0.52,2.94
TP1168,C012,CMP07,2024-06-13 05:32:00,2024-06-13,10,10,Web,website,web_referral,CMP07_email,Consideration,Mobile,789,10,195,0.84,0.13,0.29,0.79,0.78,5.37
TP522,C013,CMP02,2024-04-25 23:08:00,2024-04-25,1,6,Email,email,email,CMP02_email,Consideration,Desktop,54,2,117,0.92,-0.83,0.28,0.32,0.42,4.99
TP764,C013,CMP10,2024-04-27 15:14:00,2024-04-27,2,6,Email,email,email,CMP10_email,Consideration,Desktop,108,3,125,0.53,-0.22,0.54,0.07,0.03,2.8
TP2267,C013,CMP15,2024-05-09 12:18:00,2024-05-09,3,6,Social,social_media,paid_social,CMP15_display,Conversion,Tablet,593,2,128,0.03,0.23,0.24,0.17,0.18,8.46
TP1363,C013,CMP13,2024-05-14 23:28:00,2024-05-14,4,6,Email,email,email,CMP13_social_media,Conversion,Mobile,235,6,98,0.12,0.71,0.01,0.5,0.27,7.84
TP207,C013,CMP15,2024-06-09 05:44:00,2024-06-09,5,6,Email,email,email,CMP15_display,Awareness,Desktop,408,7,160,0.27,0.69,0.34,0.02,0.35,6.41
TP1246,C013,CMP04,2024-06-09 15:47:00,2024-06-09,6,6,Mobile,mobile_app,mobile_push,CMP04_display,Retention,Tablet,907,8,40,0.24,-0.62,0.3,0.95,0.44,3.81
TP1213,C014,CMP15,2024-03-04 21:37:00,2024-03-04,1,8,Web,website,web_referral,CMP15_display,Retention,Desktop,250,9,61,0.86,0.05,0.61,0.66,0.26,6.45
TP1790,C014,CMP05,2024-03-30 20:48:00,2024-03-30,2,8,In-Store,offline_store,offline,CMP05_email,Consideration,Desktop,822,3,62,0.68,0.4,0.96,0.1,0.61,8.28
TP067,C014,CMP18,2024-04-22 17:42:00,2024-04-22,3,8,Mobile,mobile_app,mobile_push,CMP18_influencer,Awareness,Desktop,113,4,158,0.58,-0.76,0.98,0.5,0.74,8.0
TP925,C014,CMP06,2024-04-23 22:16:00,2024-04-23,4,8,Web,website,web_referral,CMP06_display,Awareness,Tablet,49,0,15,0.97,-0.1,0.87,0.74,0.75,1.77
TP1428,C014,CMP19,2024-05-23 15:18:00,2024-05-23,5,8,Email,email,email,CMP19_social_media,Retention,Desktop,1160,7,169,0.99,-0.33,0.77,0.95,0.96,9.51
TP1993,C014,CMP17,2024-06-05 09:30:00,2024-06-05,6,8,Social,social_media,paid_social,CMP17_display,Awareness,Tablet,390,7,158,0.72,-0.01,0.91,0.48,0.4,1.89
TP1204,C014,CMP03,2024-06-09 01:32:00,2024-06-09,7,8,In-Store,offline_store,offline,CMP03_influencer,Consideration,Desktop,773,8,81,0.91,0.44,0.76,0.86,0.24,2.93
TP2555,C014,CMP11,2024-06-28 16:51:00,2024-06-28,8,8,In-Store,offline_store,offline,CMP11_display,Consideration,Desktop,133,8,16,0.12,0.3,0.79,0.26,0.92,2.93
TP2010,C015,CMP02,2024-03-12 10:05:00,2024-03-12,1,8,Mobile,mobile_app,mobile_push,CMP02_email,Retention,Desktop,525,6,155,0.74,-0.64,0.17,0.6,0.32,1.51
TP2426,C015,CMP11,2024-03-20 14:55:00,2024-03-20,2,8,Email,email,email,CMP11_display,Retention,Desktop,518,8,131,0.13,-0.01,0.97,0.06,0.54,6.26
TP1458,C015,CMP04,2024-03-29 09:28:00,2024-03-29,3,8,Mobile,mobile_app,mobile_push,CMP04_display,Retention,Tablet,512,3,63,0.39,-0.62,0.26,0.79,0.15,4.94
TP128,C015,CMP02,2024-04-22 02:53:00,2024-04-22,4,8,Mobile,mobile_app,mobile_push,CMP02_email,Conversion,Desktop,562,0,67,0.68,0.83,0.47,0.87,0.62,7.61
TP2388,C015,CMP01,2024-05-31 10:32:00,2024-05-31,5,8,Email,email,email,CMP01_email,Retention,Mobile,509,7,119,0.91,-0.42,0.6,0.06,0.6,0.51
TP185,C015,CMP02,2024-06-11 23:12:00,2024-06-11,6,8,In-Store,offline_store,offline,CMP02_email,Awareness,Desktop,782,1,198,0.85,0.87,0.53,0.53,0.77,4.23
TP1229,C015,CMP19,2024-06-15 22:57:00,2024-06-15,7,8,Email,email,email,CMP19_social_media,Retention,Desktop,719,2,153,0.79,-0.38,0.65,0.22,0.58,3.45
TP1493,C015,CMP09,2024-06-17 09:49:00,2024-06-17,8,8,Social,social_media,paid_social,CMP09_social_media,Consideration,Desktop,1068,6,198,0.47,0.83,0.36,0.85,0.18,0.93
TP678,C016,CMP10,2024-03-03 02:43:00,2024-03-03,1,3,Web,website,web_referral,CMP10_email,Consideration,Tablet,467,2,165,0.15,0.86,0.77,0.03,0.27,8.58
TP2020,C016,CMP03,2024-05-25 20:45:00,2024-05-25,2,3,Web,website,web_referral,CMP03_influencer,Awareness,Tablet,430,6,147,0.89,0.22,0.28,0.07,0.46,6.59
TP1961,C016,CMP17,2024-06-22 20:23:00,2024-06-22,3,3,Email,email,email,CMP17_display,Conversion,Desktop,259,7,147,0.33,-0.16,0.1,0.47,0.42,3.14
TP454,C017,CMP03,2024-03-02 06:14:00,2024-03-02,1,7,In-Store,offline_store,offline,CMP03_influencer,Awareness,Mobile,96,2,149,0.94,-0.42,0.65,0.93,0.47,6.09
TP1901,C017,CMP03,2024-03-13 11:09:00,2024-03-13,2,7,In-Store,offline_store,offline,CMP03_influencer,Consideration,Desktop,108,8,133,0.65,-0.15,0.69,0.32,0.53,4.25
TP2306,C017,CMP13,2024-03-19 17:15:00,2024-03-19,3,7,Web,website,web_referral,CMP13_social_media,Awareness,Mobile,589,9,108,0.95,0.6,0.16,0.75,0.24,1.16
TP2272,C017,CMP16,2024-04-19 22:12:00,2024-04-19,4,7,In-Store,offline_store,offline,CMP16_social_media,Retention,Desktop,868,10,101,0.25,0.72,0.38,0.85,0.84,8.0
TP1927,C017,CMP01,2024-04-27 12:04:00,2024-04-27,5,7,Email,email,email,CMP01_email,Conversion,Desktop,1138,7,92,0.35,0.22,0.3,0.17,0.32,7.98
TP1820,C017,CMP05,2024-05-03 03:29:00,2024-05-03,6,7,Social,social_media,paid_social,CMP05_email,Conversion,Tablet,813,5,17,0.58,0.8,0.99,0.78,0.71,9.22
TP1603,C017,CMP12,2024-05-16 18:11:00,2024-05-16,7,7,In-Store,offline_store,offline,CMP12_influencer,Conversion,Desktop,289,1,140,0.98,0.41,0.78,0.85,0.29,9.36
TP1662,C018,CMP17,2024-03-26 14:45:00,2024-03-26,1,2,Social,social_media,paid_social,CMP17_display,Consideration,Mobile,792,4,110,0.8,0.41,0.99,0.53,0.82,1.88
TP485,C018,CMP05,2024-05-23 00:13:00,2024-05-23,2,2,In-Store,offline_store,offline,CMP05_email,Conversion,Desktop,440,10,56,0.83,0.95,0.7,0.58,0.78,3.29
TP779,C019,CMP18,2024-03-19 23:44:00,2024-03-19,1,3,Mobile,mobile_app,mobile_push,CMP18_influencer,Consideration,Tablet,1105,1,50,0.34,-0.44,0.74,0.15,0.62,4.54
TP872,C019,CMP04,2024-03-26 00:55:00,2024-03-26,2,3,Mobile,mobile_app,mobile_push,CMP04_display,Conversion,Tablet,68,4,39,0.44,0.24,0.31,0.16,0.33,5.29
TP1661,C019,CMP01,2024-05-11 05:11:00,2024-05-11,3,3,Social,social_media,paid_social,CMP01_email,Conversion,Tablet,154,9,75,0.86,0.59,0.95,0.88,0.81,8.65
TP1763,C020,CMP17,2024-03-17 05:57:00,2024-03-17,1,6,Email,email,email,CMP17_display,Consideration,Desktop,1199,10,18,0.36,0.35,0.59,0.32,0.05,4.89
TP2615,C020,CMP04,2024-05-09 19:34:00,2024-05-09,2,6,Mobile,mobile_app,mobile_push,CMP04_display,Consideration,Tablet,653,4,74,0.37,0.34,0.76,0.4,0.51,3.53
TP2135,C020,CMP18,2024-06-13 17:52:00,2024-06-13,3,6,Mobile,mobile_app,mobile_push,CMP18_influencer,Conversion,Tablet,189,8,103,0.05,-0.17,0.27,0.57,0.62,5.93
TP919,C020,CMP01,2024-06-17 02:52:00,2024-06-17,4,6,In-Store,offline_store,offline,CMP01_email,Consideration,Desktop,469,10,52,0.86,-0.18,0.34,0.07,0.47,1.25
TP528,C020,CMP13,2024-06-17 19:27:00,2024-06-17,5,6,Social,social_media,paid_social,CMP13_social_media,Retention,Mobile,559,7,64,0.98,-0.93,0.88,0.31,0.8,2.92
TP1338,C020,CMP12,2024-06-26 18:24:00,2024-06-26,6,6,Web,website,web_referral,CMP12_influencer,Retention,Desktop,321,5,48,0.22,0.29,0.62,0.15,0.92,0.9
TP2373,C021,CMP03,2024-03-26 20:11:00,2024-03-26,1,3,Social,social_media,paid_social,CMP03_influencer,Consideration,Tablet,88,1,187,0.27,0.62,0.81,0.37,0.02,2.33
TP060,C021,CMP17,2024-05-09 10:59:00,2024-05-09,2,3,Mobile,mobile_app,mobile_push,CMP17_display,Consideration,Mobile,895,9,133,0.71,-0.7,0.22,0.82,0.78,4.39
TP008,C021,CMP03,2024-05-19 18:08:00,2024-05-19,3,3,Email,email,email,CMP03_influencer,Awareness,Desktop,1054,1,179,0.37,0.65,0.99,0.82,0.24,5.02
TP427,C022,CMP02,2024-03-10 10:37:00,2024-03-10,1,6,Social,social_media,paid_social,CMP02_email,Retention,Tablet,202,8,184,0.11,-0.22,0.38,0.62,0.81,5.81
TP2547,C022,CMP05,2024-03-15 20:37:00,2024-03-15,2,6,Social,social_media,paid_social,CMP05_email,Conversion,Mobile,1045,10,84,0.37,0.18,0.92,0.2,0.89,0.82
TP1162,C022,CMP17,2024-04-25 23:50:00,2024-04-25,3,6,Mobile,mobile_app,mobile_push,CMP17_display,Awareness,Desktop,722,4,161,0.54,-0.31,0.62,0.8,0.4,2.01
TP035,C022,CMP12,2024-04-27 19:57:00,2024-04-27,4,6,In-Store,offline_store,offline,CMP12_influencer,Awareness,Mobile,252,10,180,0.1,-0.44,0.82,0.0,0.69,9.0
TP2313,C022,CMP08,2024-05-10 11:36:00,2024-05-10,5,6,Web,website,web_referral,CMP08_search,Awareness,Mobile,58,2,95,0.14,0.4,0.18,0.33,0.5,3.48
TP2363,C022,CMP02,2024-06-08 13:12:00,2024-06-08,6,6,Web,website,web_referral,CMP02_email,Awareness,Desktop,492,7,60,0.96,-0.38,0.35,0.4,0.05,3.48
TP1521,C023,CMP15,2024-04-08 07:50:00,2024-04-08,1,5,Social,social_media,paid_social,CMP15_display,Awareness,Tablet,1050,10,136,0.51,-0.78,0.92,0.16,0.76,7.58
TP1026,C023,CMP09,2024-04-14 22:55:00,2024-04-14,2,5,In-Store,offline_store,offline,CMP09_social_media,Retention,Desktop,901,6,118,0.4,-0.17,0.99,0.11,0.46,6.42
TP2248,C023,CMP15,2024-04-19 02:23:00,2024-04-19,3,5,Mobile,mobile_app,mobile_push,CMP15_display,Consideration,Desktop,421,8,180,0.78,0.32,0.87,0.27,0.14,4.53
TP660,C023,CMP14,2024-04-23 01:07:00,2024-04-23,4,5,In-Store,offline_store,offline,CMP14_email,Conversion,Tablet,716,0,109,0.46,-0.59,0.12,0.96,0.68,6.11
TP1434,C023,CMP02,2024-05-18 21:58:00,2024-05-18,5,5,Email,email,email,CMP02_email,Awareness,Tablet,664,10,83,0.26,-0.58,0.05,0.89,0.13,6.5
TP2420,C024,CMP16,2024-05-26 14:25:00,2024-05-26,1,2,Social,social_media,paid_social,CMP16_social_media,Awareness,Desktop,124,7,88,0.08,-0.08,0.35,0.39,0.76,9.07
TP2608,C024,CMP19,2024-06-14 01:59:00,2024-06-14,2,2,Mobile,mobile_app,mobile_push,CMP19_social_media,Awareness,Desktop,590,3,82,0.64,0.49,0.12,0.47,0.35,0.63
TP1244,C025,CMP06,2024-04-04 15:14:00,2024-04-04,1,9,Social,social_media,paid_social,CMP06_display,Conversion,Mobile,1059,10,79,0.82,-0.7,0.5,0.37,0.25,2.26
TP1612,C025,CMP07,2024-04-10 04:56:00,2024-04-10,2,9,Mobile,mobile_app,mobile_push,CMP07_email,Awareness,Tablet,1182,0,60,0.67,-0.23,0.13,0.53,0.86,2.96
TP801,C025,CMP19,2024-04-13 21:23:00,2024-04-13,3,9,Social,social_media,paid_social,CMP19_social_media,Consideration,Tablet,271,7,190,0.34,-0.37,0.37,0.18,0.2,2.01
TP1908,C025,CMP01,2024-04-17 22:42:00,2024-04-17,4,9,In-Store,offline_store,offline,CMP01_email,Conversion,Tablet,235,6,30,0.36,-0.05,0.73,0.74,0.06,2.98
TP2562,C025,CMP13,2024-05-10 10:39:00,2024-05-10,5,9,In-Store,offline_store,offline,CMP13_social_media,Awareness,Mobile,40,10,16,0.6,-0.16,0.36,0.41,0.32,8.86
TP1593,C025,CMP17,2024-05-13 21:28:00,2024-05-13,6,9,In-Store,offline_store,offline,CMP17_display,Awareness,Mobile,914,6,84,0.52,0.27,0.94,0.33,0.75,2.13
