date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend
2024-05-21,TikTok Ads,Display,EdTech,UK,152235,6104,0.0401,0.73,4455.92
2024-12-07,Meta Ads,Video,Fintech,Australia,66929,1539,0.023,1.21,1862.19
2024-05-09,Google Ads,Video,SaaS,Canada,188202,7189,0.0382,1.15,8267.35
2024-01-25,Google Ads,Video,Fintech,USA,184316,4091,0.0222,1.04,4254.64
2024-09-10,Google Ads,Video,Healthcare,Canada,65545,3355,0.0512,1.77,5938.35
2024-06-04,Google Ads,Video,Healthcare,USA,33141,798,0.0241,3.29,2625.42
2024-07-09,Meta Ads,Video,Healthcare,Germany,76229,1562,0.0205,1.01,1577.62
2024-11-09,TikTok Ads,Search,SaaS,Australia,141614,10677,0.0754,0.35,3736.95
2024-07-14,Meta Ads,Shopping,Healthcare,UK,161193,4916,0.0305,1.37,6734.92
2024-02-17,Google Ads,Search,SaaS,Germany,142244,4935,0.0347,2.98,14706.3
2024-03-27,Meta Ads,Search,Fintech,UAE,178063,1851,0.0104,0.45,832.95
2024-01-28,Google Ads,Video,Fintech,Australia,193978,5780,0.0298,1.73,9999.4
2024-02-18,Meta Ads,Display,SaaS,Canada,187051,6284,0.0336,2.01,12630.84
2024-01-11,Meta Ads,Video,EdTech,UK,152977,5491,0.0359,1.35,7412.85
2024-05-01,Google Ads,Display,E-commerce,UAE,129447,4310,0.0333,2.7,11637.0
2024-01-22,Google Ads,Shopping,Fintech,USA,28387,672,0.0237,3.32,2231.04
2024-04-27,Meta Ads,Shopping,Fintech,Australia,88986,1308,0.0147,0.75,981.0
2024-01-10,Google Ads,Video,SaaS,UK,170268,7917,0.0465,3.14,24859.38
2024-01-20,Google Ads,Display,Healthcare,USA,122322,6152,0.0503,1.23,7566.96
2024-02-07,Meta Ads,Display,Healthcare,UK,69429,2430,0.035,1.59,3863.7
2024-06-07,Meta Ads,Display,SaaS,Canada,196675,4031,0.0205,1.97,7941.07
2024-05-25,Google Ads,Video,E-commerce,Australia,104134,3603,0.0346,3.46,12466.38
2024-12-24,Meta Ads,Display,EdTech,Canada,150544,2890,0.0192,1.7,4913.0
2024-10-28,TikTok Ads,Video,SaaS,Canada,75553,3331,0.0441,0.44,1465.64
2024-10-23,Meta Ads,Search,EdTech,India,149565,2437,0.0163,0.37,901.69
2024-04-15,Google Ads,Display,SaaS,India,12896,535,0.0415,0.98,524.3
2024-05-22,TikTok Ads,Display,Fintech,Germany,70428,3310,0.047,1.17,3872.7
2024-06-09,TikTok Ads,Shopping,EdTech,USA,12345,456,0.037,0.62,282.72
2024-11-25,Meta Ads,Display,SaaS,USA,18140,455,0.0251,1.15,523.25
2024-02-18,Google Ads,Video,Fintech,Australia,42823,1588,0.0371,2.97,4716.36
2024-01-26,TikTok Ads,Shopping,SaaS,Germany,34118,1470,0.0431,0.85,1249.5
2024-01-08,Meta Ads,Video,EdTech,UK,127775,3871,0.0303,0.76,2941.96
2024-09-15,Google Ads,Shopping,Fintech,UAE,136354,3736,0.0274,1.16,4333.76
2024-10-28,Google Ads,Shopping,E-commerce,Germany,115454,7227,0.0626,2.46,17778.42
2024-06-02,Meta Ads,Search,EdTech,USA,37994,1379,0.0363,1.06,1461.74
2024-10-12,Meta Ads,Video,EdTech,Germany,74615,2327,0.0312,1.1,2559.7
2024-12-15,Google Ads,Search,EdTech,Canada,176790,4490,0.0254,1.49,6690.1
2024-10-29,Google Ads,Shopping,Fintech,Germany,60077,1994,0.0332,3.11,6201.34
2024-03-31,Meta Ads,Display,Fintech,Canada,151295,2163,0.0143,1.58,3417.54
2024-04-19,TikTok Ads,Display,E-commerce,Canada,20282,1740,0.0858,1.25,2175.0
2024-10-12,Google Ads,Search,Healthcare,Germany,185488,3950,0.0213,1.39,5490.5
2024-09-11,Meta Ads,Display,E-commerce,Australia,28567,999,0.035,1.69,1688.31
2024-11-19,Google Ads,Search,E-commerce,UAE,96170,5145,0.0535,2.12,10907.4
2024-02-07,Meta Ads,Shopping,Healthcare,Canada,101019,2515,0.0249,1.69,4250.35
2024-03-01,TikTok Ads,Shopping,E-commerce,UK,91795,3800,0.0414,1.22,4636.0
2024-07-08,Meta Ads,Search,E-commerce,India,22543,333,0.0148,1.49,496.17
2024-02-28,Meta Ads,Shopping,Healthcare,Canada,119598,1064,0.0089,2.0,2128.0
2024-08-27,Meta Ads,Search,EdTech,UAE,158504,4897,0.0309,0.43,2105.71
2024-03-22,Google Ads,Display,E-commerce,Australia,39542,1209,0.0306,1.85,2236.65
2024-07-19,Google Ads,Display,Fintech,India,110848,3181,0.0287,2.45,7793.45
2024-12-22,Meta Ads,Video,Healthcare,Australia,79964,1487,0.0186,1.07,1591.09
2024-12-19,TikTok Ads,Display,EdTech,Germany,105127,7747,0.0737,0.88,6817.36
2024-01-07,Google Ads,Shopping,EdTech,UAE,73803,1505,0.0204,2.12,3190.6
2024-06-24,Google Ads,Shopping,Healthcare,UK,96575,4925,0.051,2.4,11820.0
2024-02-20,Google Ads,Shopping,Fintech,UK,162489,4500,0.0277,3.03,13635.0
2024-05-05,Meta Ads,Search,Healthcare,Canada,76155,3548,0.0466,1.25,4435.0
2024-12-06,TikTok Ads,Search,Fintech,UK,180021,13105,0.0728,1.61,21099.05
2024-04-13,TikTok Ads,Video,EdTech,UK,79965,3070,0.0384,1.02,3131.4
2024-05-28,Meta Ads,Search,EdTech,India,49789,622,0.0125,2.08,1293.76
2024-04-11,TikTok Ads,Video,SaaS,Germany,195026,9653,0.0495,1.83,17664.99
2024-02-17,TikTok Ads,Shopping,Healthcare,Canada,130438,7721,0.0592,1.6,12353.6
2024-12-14,TikTok Ads,Shopping,SaaS,India,141917,4796,0.0338,0.66,3165.36
2024-11-22,TikTok Ads,Shopping,SaaS,USA,146958,7494,0.051,1.68,12589.92
2024-09-16,Google Ads,Video,E-commerce,UK,13605,300,0.0221,2.08,624.0
2024-05-23,Google Ads,Display,SaaS,Germany,116041,6428,0.0554,1.75,11249.0
2024-09-25,TikTok Ads,Search,E-commerce,India,170396,10138,0.0595,1.08,10949.04
2024-02-22,Meta Ads,Display,EdTech,India,19743,619,0.0314,1.25,773.75
2024-08-28,Google Ads,Search,E-commerce,Australia,94081,5588,0.0594,2.69,15031.72
2024-06-10,TikTok Ads,Video,Fintech,USA,141643,8526,0.0602,0.46,3921.96
2024-01-23,Meta Ads,Shopping,SaaS,Australia,90716,3002,0.0331,1.47,4412.94
2024-12-20,Google Ads,Search,EdTech,USA,72055,1678,0.0233,3.17,5319.26
2024-04-18,Meta Ads,Shopping,E-commerce,Germany,112692,2096,0.0186,2.27,4757.92
2024-11-08,Google Ads,Video,Fintech,UAE,31672,877,0.0277,0.72,631.44
2024-06-30,Meta Ads,Video,E-commerce,Germany,59131,1425,0.0241,1.04,1482.0
2024-06-23,Google Ads,Search,SaaS,Canada,119397,3868,0.0324,1.8,6962.4
2024-11-02,Meta Ads,Search,EdTech,Australia,157008,5024,0.032,0.72,3617.28
2024-01-04,Meta Ads,Shopping,EdTech,UK,117217,2133,0.0182,1.29,2751.57
2024-10-27,TikTok Ads,Search,SaaS,Canada,111956,5911,0.0528,1.57,9280.27
2024-01-05,Meta Ads,Display,SaaS,USA,10939,113,0.0104,1.18,133.34
2024-08-10,TikTok Ads,Display,SaaS,India,72293,4532,0.0627,1.81,8202.92
2024-02-17,Google Ads,Shopping,Fintech,Germany,78402,4531,0.0578,2.75,12460.25
2024-10-25,TikTok Ads,Display,E-commerce,Canada,160892,9122,0.0567,0.64,5838.08
2024-03-14,TikTok Ads,Search,EdTech,USA,154092,8860,0.0575,1.17,10366.2
2024-01-10,Meta Ads,Shopping,Healthcare,UAE,73323,1928,0.0263,1.71,3296.88
2024-01-17,TikTok Ads,Video,SaaS,India,58521,3318,0.0567,1.85,6138.3
2024-10-04,TikTok Ads,Search,SaaS,USA,48361,2713,0.0561,0.87,2360.31
2024-05-11,TikTok Ads,Display,Healthcare,UAE,179870,7500,0.0417,1.44,10800.0
2024-10-06,TikTok Ads,Search,E-commerce,Canada,114850,8234,0.0717,1.63,13421.42
2024-06-17,Google Ads,Display,Healthcare,India,54976,2611,0.0475,1.32,3446.52
2024-08-26,Google Ads,Shopping,Fintech,Australia,162636,9237,0.0568,1.41,13024.17
2024-05-28,Google Ads,Display,Healthcare,India,23375,1175,0.0503,1.42,1668.5
2024-12-22,Meta Ads,Shopping,E-commerce,Canada,167917,6246,0.0372,0.6,3747.6
2024-09-07,Google Ads,Search,E-commerce,USA,71216,2357,0.0331,3.17,7471.69
2024-12-04,Google Ads,Video,EdTech,Germany,29618,1883,0.0636,2.17,4086.11
2024-12-01,Google Ads,Search,Healthcare,Canada,136461,3984,0.0292,1.49,5936.16
2024-07-24,TikTok Ads,Search,Healthcare,Australia,132426,7309,0.0552,0.32,2338.88
2024-11-29,TikTok Ads,Search,E-commerce,Germany,159692,6882,0.0431,0.37,2546.34
2024-09-04,Meta Ads,Video,Fintech,India,27931,608,0.0218,1.52,924.16
2024-08-06,Meta Ads,Display,EdTech,USA,131155,4052,0.0309,1.24,5024.48
2024-05-27,TikTok Ads,Shopping,Fintech,USA,66842,2339,0.035,1.4,3274.6
2024-03-05,Google Ads,Shopping,SaaS,UAE,7642,202,0.0265,3.38,682.76
2024-06-12,Google Ads,Shopping,E-commerce,USA,70618,3601,0.051,2.23,8030.23
2024-09-27,Meta Ads,Video,E-commerce,Germany,74212,1528,0.0206,1.46,2230.88
2024-03-09,Google Ads,Shopping,E-commerce,USA,10039,501,0.05,2.29,1147.29
2024-12-23,Meta Ads,Video,Healthcare,India,102088,4481,0.0439,0.73,3271.13
2024-09-14,TikTok Ads,Display,Fintech,UAE,25025,1256,0.0502,0.43,540.08
2024-11-05,Google Ads,Shopping,Healthcare,Canada,36707,943,0.0257,1.31,1235.33
2024-10-17,TikTok Ads,Search,EdTech,Canada,17356,925,0.0533,0.46,425.5
2024-06-25,TikTok Ads,Search,EdTech,India,86257,4597,0.0533,0.83,3815.51
2024-11-08,Google Ads,Shopping,Fintech,India,32518,1258,0.0387,2.41,3031.78
2024-07-27,Meta Ads,Display,E-commerce,India,75269,2604,0.0346,0.83,2161.32
2024-05-16,Google Ads,Video,EdTech,Canada,20534,993,0.0484,2.87,2849.91
2024-11-15,TikTok Ads,Shopping,E-commerce,UAE,98500,5614,0.057,0.61,3424.54
2024-07-25,TikTok Ads,Search,Fintech,UAE,41468,3354,0.0809,1.11,3722.94
2024-05-26,Google Ads,Video,Healthcare,Canada,123696,6531,0.0528,2.58,16849.98
2024-11-08,Meta Ads,Shopping,EdTech,Germany,81848,1694,0.0207,1.29,2185.26
2024-02-29,Google Ads,Display,EdTech,Canada,92923,1932,0.0208,3.17,6124.44
2024-11-09,Google Ads,Shopping,E-commerce,UK,170732,7700,0.0451,0.81,6237.0
2024-10-03,Google Ads,Display,E-commerce,Australia,86471,4859,0.0562,1.57,7628.63
2024-10-26,Meta Ads,Display,EdTech,UK,115986,1357,0.0117,1.48,2008.36
2024-06-21,TikTok Ads,Display,Healthcare,USA,42019,2979,0.0709,1.51,4498.29
2024-01-28,TikTok Ads,Shopping,EdTech,USA,34063,1243,0.0365,0.38,472.34
2024-04-13,TikTok Ads,Shopping,Healthcare,Australia,107476,4707,0.0438,1.7,8001.9
2024-12-16,TikTok Ads,Search,Fintech,Canada,33302,3007,0.0903,0.28,841.96
2024-12-21,Google Ads,Shopping,SaaS,USA,70206,3945,0.0562,3.6,14202.0
2024-02-17,Meta Ads,Video,E-commerce,Germany,16094,616,0.0383,2.29,1410.64
2024-06-03,Meta Ads,Video,Fintech,UAE,182718,2558,0.014,1.36,3478.88
2024-08-01,TikTok Ads,Search,EdTech,India,66169,2057,0.0311,1.49,3064.93
2024-01-13,Meta Ads,Shopping,SaaS,India,24404,710,0.0291,0.61,433.1
2024-05-23,TikTok Ads,Shopping,EdTech,Australia,30517,2575,0.0844,0.8,2060.0
2024-04-04,TikTok Ads,Video,E-commerce,Australia,145148,5762,0.0397,1.49,8585.38
2024-02-19,Google Ads,Display,Fintech,Germany,37101,2166,0.0584,2.95,6389.7
2024-02-08,Meta Ads,Search,EdTech,UK,151480,2514,0.0166,2.06,5178.84
2024-04-05,TikTok Ads,Video,EdTech,India,159813,7575,0.0474,0.9,6817.5
2024-09-21,TikTok Ads,Display,Healthcare,UK,135956,11529,0.0848,0.5,5764.5
2024-07-26,Google Ads,Search,SaaS,UAE,70982,2548,0.0359,2.88,7338.24
2024-03-17,TikTok Ads,Search,Healthcare,India,132992,7926,0.0596,0.64,5072.64
2024-08-13,TikTok Ads,Video,Healthcare,India,13597,747,0.055,1.91,1426.77
2024-05-06,Meta Ads,Search,EdTech,USA,199472,5286,0.0265,1.32,6977.52
2024-02-27,Google Ads,Search,Healthcare,USA,108751,5459,0.0502,1.43,7806.37
2024-12-24,Meta Ads,Display,E-commerce,India,175591,5864,0.0334,0.44,2580.16
2024-11-08,TikTok Ads,Search,EdTech,India,36027,2770,0.0769,1.08,2991.6
2024-08-19,TikTok Ads,Shopping,E-commerce,Canada,57265,2302,0.0402,1.3,2992.6
2024-07-18,Google Ads,Shopping,Fintech,India,161904,4727,0.0292,1.64,7752.28
2024-08-31,Google Ads,Display,Healthcare,Canada,49757,1243,0.025,3.14,3903.02
2024-07-28,Google Ads,Video,EdTech,USA,168623,6896,0.0409,1.42,9792.32
2024-09-06,Meta Ads,Video,SaaS,Canada,98079,3226,0.0329,2.18,7032.68
2024-06-23,Google Ads,Search,EdTech,UK,11305,562,0.0498,1.72,966.64
2024-10-20,TikTok Ads,Shopping,Healthcare,India,109188,6354,0.0582,1.26,8006.04
2024-08-14,Meta Ads,Display,Healthcare,Germany,73309,2323,0.0317,0.6,1393.8
2024-12-14,Google Ads,Video,Healthcare,India,81996,1508,0.0184,2.33,3513.64
2024-04-03,TikTok Ads,Display,EdTech,UK,122192,4398,0.036,0.99,4354.02
2024-11-30,Google Ads,Display,SaaS,UAE,79960,1591,0.0199,1.03,1638.73
2024-11-05,Meta Ads,Display,Healthcare,Australia,188804,5267,0.0279,2.1,11060.7
2024-05-25,Meta Ads,Display,Fintech,UK,80139,2436,0.0304,1.58,3848.88
2024-12-25,Meta Ads,Shopping,SaaS,Germany,51999,930,0.0179,1.2,1116.0
2024-12-11,Google Ads,Video,EdTech,India,119527,6597,0.0552,3.1,20450.7
2024-08-17,Meta Ads,Search,Fintech,India,194073,6346,0.0327,1.8,11422.8
2024-09-27,TikTok Ads,Display,SaaS,UK,55599,3697,0.0665,1.64,6063.08
2024-10-17,Google Ads,Video,Healthcare,India,176541,4378,0.0248,2.87,12564.86
2024-06-23,Google Ads,Display,Fintech,UAE,118710,4036,0.034,2.48,10009.28
2024-02-17,TikTok Ads,Search,Fintech,Germany,113297,9675,0.0854,1.81,17511.75
2024-07-05,Google Ads,Search,Fintech,UK,6881,357,0.052,2.29,817.53
2024-05-20,Meta Ads,Shopping,EdTech,Germany,121477,1834,0.0151,0.49,898.66
2024-06-28,Google Ads,Display,SaaS,Australia,188419,10231,0.0543,2.15,21996.65
2024-08-11,Meta Ads,Video,EdTech,UK,46743,1523,0.0326,0.8,1218.4
2024-03-10,Google Ads,Video,Fintech,India,93302,4058,0.0435,0.81,3286.98
2024-05-14,Google Ads,Search,SaaS,Australia,140747,8571,0.0609,3.25,27855.75
2024-04-16,Google Ads,Search,Healthcare,Australia,36831,1572,0.0427,3.45,5423.4
2024-04-17,TikTok Ads,Display,SaaS,Germany,146842,10646,0.0725,1.23,13094.58
2024-04-05,Meta Ads,Display,EdTech,USA,69892,2851,0.0408,0.78,2223.78
2024-03-29,Google Ads,Shopping,SaaS,UK,118985,4545,0.0382,3.23,14680.35
2024-07-12,Meta Ads,Display,E-commerce,India,12452,280,0.0225,1.23,344.4
2024-01-22,Google Ads,Display,EdTech,UAE,85077,4032,0.0474,2.84,11450.88
2024-08-18,TikTok Ads,Search,Fintech,India,39782,3393,0.0853,1.71,5802.03
2024-04-13,Google Ads,Video,EdTech,Australia,192135,10663,0.0555,1.78,18980.14
2024-04-04,Meta Ads,Search,Healthcare,India,156317,5924,0.0379,0.71,4206.04
2024-02-15,Google Ads,Shopping,Fintech,Germany,39754,2007,0.0505,2.33,4676.31
2024-10-02,Meta Ads,Shopping,EdTech,UAE,84526,2214,0.0262,0.44,974.16
2024-08-27,Google Ads,Shopping,SaaS,UK,159226,5206,0.0327,0.97,5049.82
2024-10-01,TikTok Ads,Display,SaaS,Canada,178503,9639,0.054,0.56,5397.84
2024-05-19,TikTok Ads,Shopping,SaaS,India,176946,13784,0.0779,0.86,11854.24
2024-08-02,Meta Ads,Display,Fintech,Germany,163124,4273,0.0262,0.91,3888.43
2024-06-21,Meta Ads,Display,EdTech,UAE,150486,6230,0.0414,1.21,7538.3
2024-05-17,Google Ads,Search,E-commerce,UK,88384,3641,0.0412,1.22,4442.02
2024-07-07,Meta Ads,Display,SaaS,USA,74922,1333,0.0178,1.32,1759.56
2024-01-17,TikTok Ads,Video,EdTech,UAE,188846,12671,0.0671,1.37,17359.27
2024-03-27,TikTok Ads,Search,SaaS,UK,10209,314,0.0308,1.79,562.06
